@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
-0.39162,-0.42531,-0.25264,-0.66916,0.40636,0.92832,-0.098028,1.2194,-0.085828,-0.62942,-1
-0.93683,-0.91401,-0.87925,-0.70741,-0.7196,-0.77156,0.03545,-0.08265,-0.51329,-0.020184,-1
-0.039323,0.02419,-0.20586,-0.15335,-0.059676,1.1486,0.2015,-0.10878,-0.088524,0.78195,1
-0.59394,-0.64561,-0.38042,-0.57349,-0.58253,-0.24837,0.90705,0.036846,0.28936,0.76663,1
-1.2567,-1.2917,-1.0033,-0.96033,-1.1453,-1.0958,0.47591,1.4584,-1.4577,-1.7947,1
-0.32215,-0.096007,-0.88661,0.10653,-0.55,-0.096785,0.84279,-0.79239,-1.0685,-0.84302,1
-0.77235,-0.67482,-0.93505,-0.44188,-1.1818,-1.0525,-1.3718,-1.3465,-1.0657,-1.0395,1
-0.80291,-0.7096,-0.95128,-0.33616,-0.51874,-1.0121,-1.9197,-0.28576,-1.1086,-1.2934,1
-0.41856,-0.47324,-0.21835,-0.63823,-0.36192,0.0036397,-0.31202,1.8452,0.086498,-0.52414,1
-0.050379,0.03593,-0.27599,2.4896,-0.68386,-0.070274,0.55765,-1.5569,0.73503,-0.14707,-1
1.7057,1.7561,1.3553,1.8741,-0.43948,-0.027637,0.33561,0.54604,0.38637,0.2846,1
-0.071456,-0.073293,-0.056457,-0.22168,-0.34562,0.26622,0.8183,0.28039,0.3308,-0.39892,-1
-0.19543,-0.22994,-0.077676,-0.52116,0.18048,0.98095,1.1503,-1.7902,0.11411,0.36725,1
0.11965,0.18773,-0.081791,0.13397,-0.17137,0.85005,1.5693,-0.84641,1.7017,-0.39159,-1
2.157,2.1045,2.0227,1.6925,-0.82253,-0.157,-1.3558,0.91134,0.30956,0.99534,1
-0.04493,-0.016808,-0.11508,0.0056093,-0.29968,0.29917,-1.0861,-0.078729,1.0773,-0.70236,1
0.62661,0.59816,0.62524,0.15243,0.10617,0.34651,-0.011704,-0.99627,1.5655,0.061372,-1
0.33692,0.27183,0.46899,0.00903,-0.39459,-0.37844,0.32969,-1.0446,-0.48501,-0.61558,-1
-1.0077,-1.0257,-0.83118,-0.99344,-0.43655,-0.64944,0.97264,-1.2419,3.0786,-0.85967,-1
-0.7419,-0.78701,-0.52644,-0.87912,-0.28817,-0.77089,1.4058,-0.31276,1.1229,0.50429,1
-0.9138,-0.89263,-0.85494,-0.60797,0.54568,0.1038,0.36642,0.12506,0.38164,1.0527,1
-0.58859,-0.52559,-0.68566,-0.16163,0.46281,0.55302,0.92317,1.0456,0.33548,-0.90058,1
0.45101,0.38441,0.57126,0.1119,-0.12149,0.20266,0.68532,-0.56517,-0.70198,-1.1837,1
0.69048,0.78303,0.36002,0.44477,0.31303,-0.42275,-0.91395,1.6503,1.2227,-1.4348,1
0.99368,1.0149,0.80807,0.79469,0.44375,0.59433,0.10602,1.357,1.01,0.98858,1
-1.4359,-1.5054,-1.0687,-1.6081,1.3556,0.74783,-0.028786,0.10846,-1.2224,-1.4482,1
-0.16451,-0.26004,0.11323,-0.56124,-0.8526,-0.31378,0.11135,-0.88956,0.18783,0.77928,-1
-1.2083,-1.2184,-1.0298,-0.7298,0.20712,0.40625,-0.47649,-0.80125,0.25836,-1.8521,-1
-1.2136,-1.2044,-1.0878,0.0091476,1.0189,0.37659,0.99658,0.35237,2.5996,-0.4867,-1
-0.75488,-0.78012,-0.59166,-0.77908,-0.23006,-0.50825,0.20063,0.67035,0.72582,-0.24791,1
-1.0364,-1.0528,-0.86162,-0.48582,-0.69021,-1.0566,1.4827,-0.5193,-1.0362,-0.095476,1
-0.94189,-0.93053,-0.85342,-0.98414,3.5857,5.4844,2.0918,-0.14426,0.19647,-1.5942,1
-0.95485,-1.0049,-0.7001,-0.95806,-0.10082,-0.053179,-0.62441,-1.1607,-0.44374,-0.39525,-1
-1.0005,-1.0173,-0.83105,-0.71668,2.3418,1.0796,-0.86484,-0.67394,-0.16035,-0.61251,-1
0.086948,0.078846,0.097625,0.20568,0.054274,-0.024693,0.84827,0.83046,-0.65937,0.18163,-1
-0.0027026,-0.20125,0.52986,-0.67074,-0.44935,-0.33764,2.4293,0.66911,-1.4091,-0.60225,1
-0.076325,0.011537,-0.30641,0.27565,0.67583,1.0947,0.38346,0.4641,1.4024,0.66022,1
0.038299,-0.10278,0.41141,-0.51631,-0.36627,-0.29745,-2.0698,-1.4955,0.048719,0.99479,1
0.56935,0.54756,0.55841,0.22948,-0.22813,-0.28483,0.67883,0.60578,-0.50897,0.63232,-1
-0.47009,-0.53584,-0.23653,-0.74126,1.4274,0.91531,-0.22286,0.54499,1.4689,-0.38261,-1
